organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population (monthly) March 2024,Population (monthly) February 2025,Population (monthly) September 2022,Population (monthly) March 2021,Population (monthly) September 2019,Population (monthly) February 2022,Population (monthly) November 2020,Population (monthly) April 2023,Population (monthly) March 2018,Population (monthly) December 2024,Population (monthly) July 2020,Population (monthly) October 2023,Population (monthly) February 2019,Population (monthly) March 2020,Population (monthly) November 2022,Population (monthly) September 2021,Population (monthly) October 2025,Population (monthly) May 2021,Population (monthly) September 2018,Population (monthly) October 2022,Population (monthly) November 2019,Population (monthly) May 2018,Population (monthly) December 2023,Population (monthly) October 2019,Population (monthly) January 2020,Population (monthly) February 2020,Population (monthly) March 2019,Population (monthly) July 2021,Population (monthly) August 2025,Population (monthly) July 2018,Population (monthly) November 2023,Population (monthly) August 2022,Population (monthly) April 2020,Population (monthly) April 2025,Population (monthly) May 2024,Population (monthly) October 2020,Population (monthly) December 2021,Population (monthly) December 2018,Population (monthly) February 2021,Population (monthly) March 2025,Population (monthly) June 2023,Population (monthly) August 2021,Population (monthly) January 2023,Population (monthly) February 2018,Population (monthly) August 2018,Population (monthly) March 2022,Population (monthly) May 2020,Population (monthly) August 2020,Population (monthly) October 2021,Population (monthly) October 2018,Population (monthly) June 2024,Population (monthly) February 2024,Population (monthly) June 2021,Population (monthly) August 2019,Population (monthly) April 2022,Population (monthly) June 2020,Population (monthly) July 2024,Population (monthly) September 2020,Population (monthly) April 2019,Population (monthly) May 2023,Population (monthly) October 2024,Population (monthly) September 2025,Population (monthly) December 2025,Population (monthly) June 2022,Population (monthly) April 2021,Population (monthly) May 2025,Population (monthly) November 2018,Population (monthly) April 2018,Population (monthly) December 2022,Population (monthly) January 2022,Population (monthly) June 2019,Population (monthly) September 2024,Population (monthly) May 2022,Population (monthly) July 2023,Population (monthly) January 2019,Population (monthly) December 2019,Population (monthly) November 2025,Population (monthly) January 2024,Population (monthly) May 2019,Population (monthly) July 2025,Population (monthly) August 2024,Population (monthly) January 2021,Population (monthly) March 2023,Population (monthly) June 2018,Population (monthly) July 2022,Population (monthly) January 2018,Population (monthly) November 2024,Population (monthly) September 2023,Population (monthly) July 2019,Population (monthly) April 2024,Population (monthly) November 2021,Population (monthly) December 2020,Population (monthly) February 2023,Population (monthly) June 2025,Population (monthly) August 2023,Population (monthly) January 2025
f7uYPBZIlpR,50605 Tansen Municipality,50605,à¤¤à¤¾à¤¨à¤¸à¥‡à¤¨ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,51264,51264,54342,53670,51899,54342,51614,51264,52172,51264,51614,51264,51899,51614,54342,53670,51264,53670,52172,54342,51899,52172,51264,51899,51614,51614,51899,53670,51264,52172,51264,54342,51614,51264,51264,51614,53670,52172,53670,51264,51264,53670,51264,52172,52172,54342,51614,51614,53670,52172,51264,51264,53670,51899,54342,51614,51264,51614,51899,51264,51264,51264,51264,54342,53670,51264,52172,52172,54342,54342,51899,51264,54342,51264,51899,51899,51264,51264,51899,51264,51264,53670,51264,52172,54342,52172,51264,51264,51899,51264,53670,51614,51264,51264,51264,51264
mlsVdmg9h5Q,50606 Ribdikot Rural Municipality,50606,à¤°à¤¿à¤¬à¥�à¤¦à¥€à¤•à¥‹à¤Ÿ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,14807,14807,15959,15695,17650,15959,17517,14807,17778,14807,17517,14807,17650,17517,15959,15695,14807,15695,17778,15959,17650,17778,14807,17650,17517,17517,17650,15695,14807,17778,14807,15959,17517,14807,14807,17517,15695,17778,15695,14807,14807,15695,14807,17778,17778,15959,17517,17517,15695,17778,14807,14807,15695,17650,15959,17517,14807,17517,17650,14807,14807,14807,14807,15959,15695,14807,17778,17778,15959,15959,17650,14807,15959,14807,17650,17650,14807,14807,17650,14807,14807,15695,14807,17778,15959,17778,14807,14807,17650,14807,15695,17517,14807,14807,14807,14807
p0awRGLIfjx,50607 Rainadevi Chhahara Rural Municipality,50607,à¤°à¥ˆà¤¨à¤¾à¤¦à¥‡à¤µà¥€ à¤›à¤¹à¤°à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,22296,22296,24124,23854,24851,24124,24644,22296,25057,22296,24644,22296,24851,24644,24124,23854,22296,23854,25057,24124,24851,25057,22296,24851,24644,24644,24851,23854,22296,25057,22296,24124,24644,22296,22296,24644,23854,25057,23854,22296,22296,23854,22296,25057,25057,24124,24644,24644,23854,25057,22296,22296,23854,24851,24124,24644,22296,24644,24851,22296,22296,22296,22296,24124,23854,22296,25057,25057,24124,24124,24851,22296,24124,22296,24851,24851,22296,22296,24851,22296,22296,23854,22296,25057,24124,25057,22296,22296,24851,22296,23854,24644,22296,22296,22296,22296
JklR3e6RGTr,50608 Tinau Rural Municipality,50608,à¤¤à¤¿à¤¨à¤¾à¤‰ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,16943,16943,18745,18352,18367,18745,18230,16943,18508,16943,18230,16943,18367,18230,18745,18352,16943,18352,18508,18745,18367,18508,16943,18367,18230,18230,18367,18352,16943,18508,16943,18745,18230,16943,16943,18230,18352,18508,18352,16943,16943,18352,16943,18508,18508,18745,18230,18230,18352,18508,16943,16943,18352,18367,18745,18230,16943,18230,18367,16943,16943,16943,16943,18745,18352,16943,18508,18508,18745,18745,18367,16943,18745,16943,18367,18367,16943,16943,18367,16943,16943,18352,16943,18508,18745,18508,16943,16943,18367,16943,18352,18230,16943,16943,16943,16943
KBOIBsIq9R7,50609 Mathagadhi Rural Municipality,50609,à¤®à¤¾à¤¥à¤¾à¤—à¤¢à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,22682,22682,24556,24099,23662,24556,23476,22682,23846,22682,23476,22682,23662,23476,24556,24099,22682,24099,23846,24556,23662,23846,22682,23662,23476,23476,23662,24099,22682,23846,22682,24556,23476,22682,22682,23476,24099,23846,24099,22682,22682,24099,22682,23846,23846,24556,23476,23476,24099,23846,22682,22682,24099,23662,24556,23476,22682,23476,23662,22682,22682,22682,22682,24556,24099,22682,23846,23846,24556,24556,23662,22682,24556,22682,23662,23662,22682,22682,23662,22682,22682,24099,22682,23846,24556,23846,22682,22682,23662,22682,24099,23476,22682,22682,22682,22682
RGfG4rzHv7x,50610 Nisdi Rural Municipality,50610,à¤¨à¤¿à¤¸à¥�à¤¦à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,17135,17135,18072,17689,21321,18072,21140,17135,21509,17135,21140,17135,21321,21140,18072,17689,17135,17689,21509,18072,21321,21509,17135,21321,21140,21140,21321,17689,17135,21509,17135,18072,21140,17135,17135,21140,17689,21509,17689,17135,17135,17689,17135,21509,21509,18072,21140,21140,17689,21509,17135,17135,17689,21321,18072,21140,17135,21140,21321,17135,17135,17135,17135,18072,17689,17135,21509,21509,18072,18072,21321,17135,18072,17135,21321,21321,17135,17135,21321,17135,17135,17689,17135,21509,18072,21509,17135,17135,21321,17135,17689,21140,17135,17135,17135,17135
zXbXMAjhNVZ,50701 Bardaghat Municipality,50701,à¤¬à¤°à¥�à¤¦à¤˜à¤¾à¤Ÿ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,79189,79189,76444,75219,69243,76444,70150,79189,68340,79189,70150,79189,69243,70150,76444,75219,79189,75219,68340,76444,69243,68340,79189,69243,70150,70150,69243,75219,79189,68340,79189,76444,70150,79189,79189,70150,75219,68340,75219,79189,79189,75219,79189,68340,68340,76444,70150,70150,75219,68340,79189,79189,75219,69243,76444,70150,79189,70150,69243,79189,79189,79189,79189,76444,75219,79189,68340,68340,76444,76444,69243,79189,76444,79189,69243,69243,79189,79189,69243,79189,79189,75219,79189,68340,76444,68340,79189,79189,69243,79189,75219,70150,79189,79189,79189,79189
cMni1fmiBhC,50702 Sunawal Municipality,50702,à¤¸à¥�à¤¨à¤µà¤² à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,74997,74997,74320,73143,63473,74320,64295,74997,62653,74997,64295,74997,63473,64295,74320,73143,74997,73143,62653,74320,63473,62653,74997,63473,64295,64295,63473,73143,74997,62653,74997,74320,64295,74997,74997,64295,73143,62653,73143,74997,74997,73143,74997,62653,62653,74320,64295,64295,73143,62653,74997,74997,73143,63473,74320,64295,74997,64295,63473,74997,74997,74997,74997,74320,73143,74997,62653,62653,74320,74320,63473,74997,74320,74997,63473,63473,74997,74997,63473,74997,74997,73143,74997,62653,74320,62653,74997,74997,63473,74997,73143,64295,74997,74997,74997,74997
vpjSGFCbvE7,50703 Ramgram Municipality,50703,à¤°à¤¾à¤®à¤—à¥�à¤°à¤¾à¤® à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,64992,64992,65807,64763,68081,65807,69059,64992,67111,64992,69059,64992,68081,69059,65807,64763,64992,64763,67111,65807,68081,67111,64992,68081,69059,69059,68081,64763,64992,67111,64992,65807,69059,64992,64992,69059,64763,67111,64763,64992,64992,64763,64992,67111,67111,65807,69059,69059,64763,67111,64992,64992,64763,68081,65807,69059,64992,69059,68081,64992,64992,64992,64992,65807,64763,64992,67111,67111,65807,65807,68081,64992,65807,64992,68081,68081,64992,64992,68081,64992,64992,64763,64992,67111,65807,67111,64992,64992,68081,64992,64763,69059,64992,64992,64992,64992
tg2UgwXajLz,50704 Palhinandan Rural Municipality,50704,à¤ªà¤¾à¤²à¥�à¤¹à¥€à¤¨à¤¨à¥�à¤¦à¤¨ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,38634,38634,41403,40744,39473,41403,39958,38634,38995,38634,39958,38634,39473,39958,41403,40744,38634,40744,38995,41403,39473,38995,38634,39473,39958,39958,39473,40744,38634,38995,38634,41403,39958,38634,38634,39958,40744,38995,40744,38634,38634,40744,38634,38995,38995,41403,39958,39958,40744,38995,38634,38634,40744,39473,41403,39958,38634,39958,39473,38634,38634,38634,38634,41403,40744,38634,38995,38995,41403,41403,39473,38634,41403,38634,39473,39473,38634,38634,39473,38634,38634,40744,38634,38995,41403,38995,38634,38634,39473,38634,40744,39958,38634,38634,38634,38634
qrfWBT9SNii,50705 Sarawal Rural Municipality,50705,à¤¸à¤°à¤¾à¤µà¤² à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,42554,42554,43074,42333,42038,43074,42582,42554,41497,42554,42582,42554,42038,42582,43074,42333,42554,42333,41497,43074,42038,41497,42554,42038,42582,42582,42038,42333,42554,41497,42554,43074,42582,42554,42554,42582,42333,41497,42333,42554,42554,42333,42554,41497,41497,43074,42582,42582,42333,41497,42554,42554,42333,42038,43074,42582,42554,42582,42038,42554,42554,42554,42554,43074,42333,42554,41497,41497,43074,43074,42038,42554,43074,42554,42038,42038,42554,42554,42038,42554,42554,42333,42554,41497,43074,41497,42554,42554,42038,42554,42333,42582,42554,42554,42554,42554
NeOKb340xom,50706 Pratapapur Rural Municipality,50706,à¤ªà¥�à¤°à¤¤à¤¾à¤ªà¤ªà¥�à¤° à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,50082,50082,51376,50472,50959,51376,51634,50082,50288,50082,51634,50082,50959,51634,51376,50472,50082,50472,50288,51376,50959,50288,50082,50959,51634,51634,50959,50472,50082,50288,50082,51376,51634,50082,50082,51634,50472,50288,50472,50082,50082,50472,50082,50288,50288,51376,51634,51634,50472,50288,50082,50082,50472,50959,51376,51634,50082,51634,50959,50082,50082,50082,50082,51376,50472,50082,50288,50288,51376,51376,50959,50082,51376,50082,50959,50959,50082,50082,50959,50082,50082,50472,50082,50288,51376,50288,50082,50082,50959,50082,50472,51634,50082,50082,50082,50082
Q3I95yshdeq,50707 Susta Rural Municipality,50707,à¤¸à¥�à¤¸à¥�à¤¤à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,41084,41084,40658,39917,40113,40658,40604,41084,39625,41084,40604,41084,40113,40604,40658,39917,41084,39917,39625,40658,40113,39625,41084,40113,40604,40604,40113,39917,41084,39625,41084,40658,40604,41084,41084,40604,39917,39625,39917,41084,41084,39917,41084,39625,39625,40658,40604,40604,39917,39625,41084,41084,39917,40113,40658,40604,41084,40604,40113,41084,41084,41084,41084,40658,39917,41084,39625,39625,40658,40658,40113,41084,40658,41084,40113,40113,41084,41084,40113,41084,41084,39917,41084,39625,40658,39625,41084,41084,40113,41084,39917,40604,41084,41084,41084,41084
dubj3bHIuwU,50801 Devdaha Municipality,50801,à¤¦à¥‡à¤¬à¤¦à¤¹ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,75306,75306,73193,71997,64514,73193,65848,75306,63202,75306,65848,75306,64514,65848,73193,71997,75306,71997,63202,73193,64514,63202,75306,64514,65848,65848,64514,71997,75306,63202,75306,73193,65848,75306,75306,65848,71997,63202,71997,75306,75306,71997,75306,63202,63202,73193,65848,65848,71997,63202,75306,75306,71997,64514,73193,65848,75306,65848,64514,75306,75306,75306,75306,73193,71997,75306,63202,63202,73193,73193,64514,75306,73193,75306,64514,64514,75306,75306,64514,75306,75306,71997,75306,63202,73193,63202,75306,75306,64514,75306,71997,65848,75306,75306,75306,75306
gE2JavhfKh8,50802 Butwal Sub-Metropolitan City,50802,à¤¬à¥�à¤Ÿà¤µà¤² à¤‰à¤ªà¤®à¤¹à¤¾à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,208306,208306,198799,195565,171595,198799,175440,208306,167825,208306,175440,208306,171595,175440,198799,195565,208306,195565,167825,198799,171595,167825,208306,171595,175440,175440,171595,195565,208306,167825,208306,198799,175440,208306,208306,175440,195565,167825,195565,208306,208306,195565,208306,167825,167825,198799,175440,175440,195565,167825,208306,208306,195565,171595,198799,175440,208306,175440,171595,208306,208306,208306,208306,198799,195565,208306,167825,167825,198799,198799,171595,208306,198799,208306,171595,171595,208306,208306,171595,208306,208306,195565,208306,167825,198799,167825,208306,208306,171595,208306,195565,175440,208306,208306,208306,208306
LHlCGNNM8nF,50803 Sainamaina Municipality,50803,à¤¸à¥ˆà¤¨à¤¾à¤®à¥ˆà¤¨à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,82406,82406,80458,79378,68932,80458,70374,82406,67511,82406,70374,82406,68932,70374,80458,79378,82406,79378,67511,80458,68932,67511,82406,68932,70374,70374,68932,79378,82406,67511,82406,80458,70374,82406,82406,70374,79378,67511,79378,82406,82406,79378,82406,67511,67511,80458,70374,70374,79378,67511,82406,82406,79378,68932,80458,70374,82406,70374,68932,82406,82406,82406,82406,80458,79378,82406,67511,67511,80458,80458,68932,82406,80458,82406,68932,68932,82406,82406,68932,82406,82406,79378,82406,67511,80458,67511,82406,82406,68932,82406,79378,70374,82406,82406,82406,82406
tzmIM8cMWUM,50804 Kanchan Rural Municipality,50804,à¤•à¤¨à¥�à¤šà¤¨ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,44171,44171,43332,42655,39725,43332,40533,44171,38926,44171,40533,44171,39725,40533,43332,42655,44171,42655,38926,43332,39725,38926,44171,39725,40533,40533,39725,42655,44171,38926,44171,43332,40533,44171,44171,40533,42655,38926,42655,44171,44171,42655,44171,38926,38926,43332,40533,40533,42655,38926,44171,44171,42655,39725,43332,40533,44171,40533,39725,44171,44171,44171,44171,43332,42655,44171,38926,38926,43332,43332,39725,44171,43332,44171,39725,39725,44171,44171,39725,44171,44171,42655,44171,38926,43332,38926,44171,44171,39725,44171,42655,40533,44171,44171,44171,44171
u32KVYtm4F5,50805 Gaidahawa Rural Municipality,50805,à¤—à¥ˆà¤¡à¤¹à¤µà¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,57286,57286,57843,56709,56735,57843,57853,57286,55633,57286,57853,57286,56735,57853,57843,56709,57286,56709,55633,57843,56735,55633,57286,56735,57853,57853,56735,56709,57286,55633,57286,57843,57853,57286,57286,57853,56709,55633,56709,57286,57286,56709,57286,55633,55633,57843,57853,57853,56709,55633,57286,57286,56709,56735,57843,57853,57286,57853,56735,57286,57286,57286,57286,57843,56709,57286,55633,55633,57843,57843,56735,57286,57843,57286,56735,56735,57286,57286,56735,57286,57286,56709,57286,55633,57843,55633,57286,57286,56735,57286,56709,57853,57286,57286,57286,57286
IowlrcJuWwg,50806 Suddhodhan Rural Municipality,50806,à¤¸à¥�à¤¦à¥�à¤§à¥‹à¤§à¤¨ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,42755,42755,42303,41587,41465,42303,42300,42755,40645,42755,42300,42755,41465,42300,42303,41587,42755,41587,40645,42303,41465,40645,42755,41465,42300,42300,41465,41587,42755,40645,42755,42303,42300,42755,42755,42300,41587,40645,41587,42755,42755,41587,42755,40645,40645,42303,42300,42300,41587,40645,42755,42755,41587,41465,42303,42300,42755,42300,41465,42755,42755,42755,42755,42303,41587,42755,40645,40645,42303,42303,41465,42755,42303,42755,41465,41465,42755,42755,41465,42755,42755,41587,42755,40645,42303,40645,42755,42755,41465,42755,41587,42300,42755,42755,42755,42755
OdmWg0ISpZw,50807 Siyari Rural Municipality,50807,à¤¸à¤¿à¤¯à¤¾à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,46018,46018,46287,45505,46300,46287,47260,46018,45357,46018,47260,46018,46300,47260,46287,45505,46018,45505,45357,46287,46300,45357,46018,46300,47260,47260,46300,45505,46018,45357,46018,46287,47260,46018,46018,47260,45505,45357,45505,46018,46018,45505,46018,45357,45357,46287,47260,47260,45505,45357,46018,46018,45505,46300,46287,47260,46018,47260,46300,46018,46018,46018,46018,46287,45505,46018,45357,45357,46287,46287,46300,46018,46287,46018,46300,46300,46018,46018,46300,46018,46018,45505,46018,45357,46287,45357,46018,46018,46300,46018,45505,47260,46018,46018,46018,46018
YCPqJYFT5dV,50808 Tilottama Municipality,50808,à¤¤à¤¿à¤²à¥‹à¤¤à¥�à¤¤à¤®à¤¾ à¤¨à¤—à¤°à¤¾à¤ªà¤¾à¤²à¤¿à¤•à¤¾,156369,156369,152244,150008,121521,152244,124136,156369,118949,156369,124136,156369,121521,124136,152244,150008,156369,150008,118949,152244,121521,118949,156369,121521,124136,124136,121521,150008,156369,118949,156369,152244,124136,156369,156369,124136,150008,118949,150008,156369,156369,150008,156369,118949,118949,152244,124136,124136,150008,118949,156369,156369,150008,121521,152244,124136,156369,124136,121521,156369,156369,156369,156369,152244,150008,156369,118949,118949,152244,152244,121521,156369,152244,156369,121521,121521,156369,156369,121521,156369,156369,150008,156369,118949,152244,118949,156369,156369,121521,156369,150008,124136,156369,156369,156369,156369
Kz7sKOELAth,50809 Om Satiya Rural Municipality,50809,à¤“à¤®à¤¸à¤¤à¤¿à¤¯à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,41835,41835,41938,41198,41128,41938,41982,41835,40291,41835,41982,41835,41128,41982,41938,41198,41835,41198,40291,41938,41128,40291,41835,41128,41982,41982,41128,41198,41835,40291,41835,41938,41982,41835,41835,41982,41198,40291,41198,41835,41835,41198,41835,40291,40291,41938,41982,41982,41198,40291,41835,41835,41198,41128,41938,41982,41835,41982,41128,41835,41835,41835,41835,41938,41198,41835,40291,40291,41938,41938,41128,41835,41938,41835,41128,41128,41835,41835,41128,41835,41835,41198,41835,40291,41938,40291,41835,41835,41128,41835,41198,41982,41835,41835,41835,41835
OQ45vAhGNNx,50810 Rohini Rural Municipality,50810,à¤°à¥‹à¤¹à¤¿à¤£à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,44084,44084,44230,43407,44440,44230,45331,44084,43563,44084,45331,44084,44440,45331,44230,43407,44084,43407,43563,44230,44440,43563,44084,44440,45331,45331,44440,43407,44084,43563,44084,44230,45331,44084,44084,45331,43407,43563,43407,44084,44084,43407,44084,43563,43563,44230,45331,45331,43407,43563,44084,44084,43407,44440,44230,45331,44084,45331,44440,44084,44084,44084,44084,44230,43407,44084,43563,43563,44230,44230,44440,44084,44230,44084,44440,44440,44084,44084,44440,44084,44084,43407,44084,43563,44230,43563,44084,44084,44440,44084,43407,45331,44084,44084,44084,44084
rA6JEBcbzki,50811 Siddharthanagar Municipality,50811,à¤¸à¤¿à¤¦à¥�à¤§à¤¾à¤°à¥�à¤¥à¤¨à¤—à¤° à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,76537,76537,77778,76510,78629,77778,80401,76537,76892,76537,80401,76537,78629,80401,77778,76510,76537,76510,76892,77778,78629,76892,76537,78629,80401,80401,78629,76510,76537,76892,76537,77778,80401,76537,76537,80401,76510,76892,76510,76537,76537,76510,76537,76892,76892,77778,80401,80401,76510,76892,76537,76537,76510,78629,77778,80401,76537,80401,78629,76537,76537,76537,76537,77778,76510,76537,76892,76892,77778,77778,78629,76537,77778,76537,78629,78629,76537,76537,78629,76537,76537,76510,76537,76892,77778,76892,76537,76537,78629,76537,76510,80401,76537,76537,76537,76537
DUyrbiuup9f,50812 Mayadevi Rural Municipality,50812,à¤®à¤¾à¤¯à¤¾à¤¦à¥‡à¤µà¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,57712,57712,58973,57963,56272,58973,57396,57712,55163,57712,57396,57712,56272,57396,58973,57963,57712,57963,55163,58973,56272,55163,57712,56272,57396,57396,56272,57963,57712,55163,57712,58973,57396,57712,57712,57396,57963,55163,57963,57712,57712,57963,57712,55163,55163,58973,57396,57396,57963,55163,57712,57712,57963,56272,58973,57396,57712,57396,56272,57712,57712,57712,57712,58973,57963,57712,55163,55163,58973,58973,56272,57712,58973,57712,56272,56272,57712,57712,56272,57712,57712,57963,57712,55163,58973,55163,57712,57712,56272,57712,57963,57396,57712,57712,57712,57712
ITx7KCEx8FO,50813 Lumbini Sanskritik Municipality,50813,à¤²à¥�à¤®à¥�à¤¬à¤¿à¤¨à¥€ à¤¸à¤¾à¤�à¤¸à¥�à¤•à¥ƒà¤¤à¤¿à¤• à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,89149,89149,90316,88431,86392,90316,88086,89149,84722,89149,88086,89149,86392,88086,90316,88431,89149,88431,84722,90316,86392,84722,89149,86392,88086,88086,86392,88431,89149,84722,89149,90316,88086,89149,89149,88086,88431,84722,88431,89149,89149,88431,89149,84722,84722,90316,88086,88086,88431,84722,89149,89149,88431,86392,90316,88086,89149,88086,86392,89149,89149,89149,89149,90316,88431,89149,84722,84722,90316,90316,86392,89149,90316,89149,86392,86392,89149,89149,86392,89149,89149,88431,89149,84722,90316,84722,89149,89149,86392,89149,88431,88086,89149,89149,89149,89149
GTIQpbx8nPD,50814 Kotahimai Rural Municipality,50814,à¤•à¥‹à¤Ÿà¤¹à¥€à¤®à¤¾à¤ˆ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,46725,46725,47511,46567,49051,47511,50063,46725,48053,46725,50063,46725,49051,50063,47511,46567,46725,46567,48053,47511,49051,48053,46725,49051,50063,50063,49051,46567,46725,48053,46725,47511,50063,46725,46725,50063,46567,48053,46567,46725,46725,46567,46725,48053,48053,47511,50063,50063,46567,48053,46725,46725,46567,49051,47511,50063,46725,50063,49051,46725,46725,46725,46725,47511,46567,46725,48053,48053,47511,47511,49051,46725,47511,46725,49051,49051,46725,46725,49051,46725,46725,46567,46725,48053,47511,48053,46725,46725,49051,46725,46567,50063,46725,46725,46725,46725
pPbkIIGKxTf,50815 Sammarimai Rural Municipality,50815,à¤¸à¤®à¥�à¤®à¤°à¥€à¤®à¤¾à¤ˆ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,43821,43821,44366,43445,45842,44366,46772,43821,44921,43821,46772,43821,45842,46772,44366,43445,43821,43445,44921,44366,45842,44921,43821,45842,46772,46772,45842,43445,43821,44921,43821,44366,46772,43821,43821,46772,43445,44921,43445,43821,43821,43445,43821,44921,44921,44366,46772,46772,43445,44921,43821,43821,43445,45842,44366,46772,43821,46772,45842,43821,43821,43821,43821,44366,43445,43821,44921,44921,44366,44366,45842,43821,44366,43821,45842,45842,43821,43821,45842,43821,43821,43445,43821,44921,44366,44921,43821,43821,45842,43821,43445,46772,43821,43821,43821,43821
uJxkS4JRVaJ,50816 Marchawari Rural Municipality,50816,à¤®à¤°à¥�à¤šà¤µà¤¾à¤°à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,41434,41434,42024,41193,46399,42024,47356,41434,45457,41434,47356,41434,46399,47356,42024,41193,41434,41193,45457,42024,46399,45457,41434,46399,47356,47356,46399,41193,41434,45457,41434,42024,47356,41434,41434,47356,41193,45457,41193,41434,41434,41193,41434,45457,45457,42024,47356,47356,41193,45457,41434,41434,41193,46399,42024,47356,41434,47356,46399,41434,41434,41434,41434,42024,41193,41434,45457,45457,42024,42024,46399,41434,42024,41434,46399,46399,41434,41434,46399,41434,41434,41193,41434,45457,42024,45457,41434,41434,46399,41434,41193,47356,41434,41434,41434,41434
HXvoe91QCtL,50901 Banganga Municipality,50901,à¤¬à¤¾à¤£à¤—à¤‚à¤—à¤¾ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,100921,100921,99014,97413,89280,99014,90803,100921,87773,100921,90803,100921,89280,90803,99014,97413,100921,97413,87773,99014,89280,87773,100921,89280,90803,90803,89280,97413,100921,87773,100921,99014,90803,100921,100921,90803,97413,87773,97413,100921,100921,97413,100921,87773,87773,99014,90803,90803,97413,87773,100921,100921,97413,89280,99014,90803,100921,90803,89280,100921,100921,100921,100921,99014,97413,100921,87773,87773,99014,99014,89280,100921,99014,100921,89280,89280,100921,100921,89280,100921,100921,97413,100921,87773,99014,87773,100921,100921,89280,100921,97413,90803,100921,100921,100921,100921
HL9tr2v5Ekd,50902 Buddhabhumi Municipality,50902,à¤¬à¥�à¤¦à¥�à¤§à¤­à¥‚à¤®à¥€ à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,78668,78668,79384,77932,76285,79384,77576,78668,75002,78668,77576,78668,76285,77576,79384,77932,78668,77932,75002,79384,76285,75002,78668,76285,77576,77576,76285,77932,78668,75002,78668,79384,77576,78668,78668,77576,77932,75002,77932,78668,78668,77932,78668,75002,75002,79384,77576,77576,77932,75002,78668,78668,77932,76285,79384,77576,78668,77576,76285,78668,78668,78668,78668,79384,77932,78668,75002,75002,79384,79384,76285,78668,79384,78668,76285,76285,78668,78668,76285,78668,78668,77932,78668,75002,79384,75002,78668,78668,76285,78668,77932,77576,78668,78668,78668,78668
