organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
QVOGCoPM6yb,10510 Baraha Pokhari Rural Municipality,10510,12448.0,12166.0,11888.0,11464.0,11475.0,10545.0,10545.0,10545.0,105
FNsPCtVEyoG,10601 Shadananda Municipality,10601,27662.0,27081.0,26505.0,29771.0,29747.0,29093.0,29093.0,29093.0,106
Aw6XiZcTpyl,10602 Salpa Silichho Rural Municipality,10602,11360.0,11105.0,10858.0,12231.0,12253.0,11501.0,11501.0,11501.0,106
bcA7xbjb8bV,10603 Tyamke Maiyum Rural Municipality,10603,15861.0,15523.0,15192.0,15484.0,15445.0,14515.0,14515.0,14515.0,106
QIsDAg98UTi,10604 Bhojpur Municipality,10604,25328.0,24843.0,24373.0,27295.0,26940.0,26059.0,26059.0,26059.0,106
PPGIT7pWlmR,10605 Arun Rural Municipality,10605,15510.0,15186.0,14856.0,14852.0,14841.0,13882.0,13882.0,13882.0,106
MXHCNv2Axez,10606 Pauwa Dunma Rural Municipality,10606,13574.0,13292.0,13017.0,12169.0,12162.0,11348.0,11348.0,11348.0,106
Shs8ljNaqsQ,10607 Ramprasad Rai Rural Municipality,10607,16505.0,16148.0,15796.0,15632.0,15630.0,14734.0,14734.0,14734.0,106
xGO56QuFIYs,10608 Hatuwagadhi Rural Municipality,10608,17973.0,17599.0,17229.0,16295.0,16263.0,15181.0,15181.0,15181.0,106
REJz6rWHGxN,10609 Aamchowk Rural Municipality,10609,16528.0,16172.0,15827.0,15238.0,15255.0,13981.0,13981.0,13981.0,106
G58bwGWfyhX,10701 Mahalaxmi Municipality,10701,25492.0,25577.0,25657.0,22285.0,22840.0,22426.0,22426.0,22426.0,107
xpZx5iZTcmp,10702 Pakhribas Municipality,10702,22765.0,22860.0,22947.0,19333.0,19813.0,19249.0,19249.0,19249.0,107
taIxmXevJeG,10703 Chhathar Jorpati Rural Municipality,10703,18958.0,19021.0,19087.0,16546.0,16971.0,15893.0,15893.0,15893.0,107
bVEJIxTw9fo,10704 Dhankuta Municipality,10704,41222.0,41474.0,41737.0,36917.0,37795.0,37094.0,37094.0,37094.0,107
r1eAZIkCTv9,10705 Sahidbhumi Rural Municipality,10705,19379.0,19450.0,19517.0,17858.0,18319.0,17116.0,17116.0,17116.0,107
oMeYnk0engn,10706 Sangurigadhi Rural Municipality,10706,22330.0,22424.0,22515.0,19682.0,20175.0,18993.0,18993.0,18993.0,107
cl7skUSvPmj,10707 Chaubise Rural Municipality,10707,19922.0,19997.0,20066.0,17990.0,18445.0,17135.0,17135.0,17135.0,107
